year,race,networth,pctle,diff
2007,White,-36245.8700620307,1,0
2010,White,-86436.7092552197,1,-50190.839193189
2013,White,-85787.9069767442,1,-49542.0369147135
2016,White,-71400,1,-35154.1299379693
2007,White,-18539.8204374796,2,0
2010,White,-53663.71143658461,2,-35123.890999105
2013,White,-50647.8604651163,2,-32108.040027636696
2016,White,-44300,2,-25760.1795625204
2007,White,-11070.6235716618,3,0
2010,White,-36254.7834216267,3,-25184.1598499649
2013,White,-29180.261627907,3,-18109.6380562452
2016,White,-29390,3,-18319.3764283382
2007,White,-6832.28860594189,4,0
2010,White,-23211.9040199439,4,-16379.615414002012
2013,White,-19560.0552325581,4,-12727.766626616212
2016,White,-20100,4,-13267.711394058111
2007,White,-2316.0300359125,5,0
2010,White,-15364.0698036772,5,-13048.0397677647
2013,White,-12682.5872093023,5,-10366.557173389801
2016,White,-11780,5,-9463.9699640875
2007,White,-440.045706823376,6,0
2010,White,-9946.85353692739,6,-9506.807830104015
2013,White,-8321.01453488372,6,-7880.968828060343
2016,White,-7900,6,-7459.954293176624
2007,White,0,7,0
2010,White,-6079.30819569959,7,-6079.30819569959
2013,White,-4743.08139534884,7,-4743.08139534884
2016,White,-4600,7,-4600
2007,White,185.282402873,8,0
2010,White,-3371.25272670614,8,-3556.53512957914
2013,White,-2113.76453488372,8,-2299.04693775672
2016,White,-1900,8,-2085.282402873
2007,White,1158.01501795625,9,0
2010,White,-1215.86163913992,9,-2373.8766570961698
2013,White,0,9,-1158.01501795625
2016,White,-29,9,-1187.01501795625
2007,White,2200.22853411688,10,0
2010,White,0,10,-2200.22853411688
2013,White,72.1773255813954,10,-2128.0512085354844
2016,White,360,10,-1840.22853411688
2007,White,3242.44205027751,11,0
2010,White,44.2131505141789,11,-3198.2288997633314
2013,White,567.107558139535,11,-2675.3344921379753
2016,White,1050,11,-2192.44205027751
2007,White,4539.41887038851,12,0
2010,White,862.156435026488,12,-3677.262435362022
2013,White,1546.65697674419,12,-2992.7618936443205
2016,White,1800,12,-2739.41887038851
2007,White,5917.45674175645,13,0
2010,White,1879.0588968526,13,-4038.3978449038505
2013,White,2990.20348837209,13,-2927.2532533843605
2016,White,3172,13,-2745.4567417564504
2007,White,7179.69311132876,14,0
2010,White,3205.45341227797,14,-3974.23969905079
2013,White,3897.57558139535,14,-3282.11752993341
2016,White,4370,14,-2809.69311132876
2007,White,8569.31113287626,15,0
2010,White,4144.98286070427,15,-4424.328272171991
2013,White,4959.61337209302,15,-3609.6977607832405
2016,White,5450,15,-3119.3111328762607
2007,White,10063.1505060398,16,0
2010,White,5228.20504830165,16,-4834.945457738149
2013,White,6289.73837209302,16,-3773.4121339467792
2016,White,6630,16,-3433.1505060397994
2007,White,11927.554684949402,17,0
2010,White,6311.42723589903,17,-5616.127449050372
2013,White,7970.43895348837,17,-3957.115731461032
2016,White,8320,17,-3607.554684949402
2007,White,13618.2566111655,18,0
2010,White,7350.43627298224,18,-6267.82033818326
2013,White,9073.72093023256,18,-4544.5356809329405
2016,White,1e4,18,-3618.2566111654996
2007,White,16096.408749591901,19,0
2010,White,8444.71174820816,19,-7651.697001383742
2013,White,10022.3372093023,19,-6074.0715402896
2016,White,11410,19,-4686.408749591901
2007,White,18678.7822396343,20,0
2010,White,10069.5450296042,20,-8609.2372100301
2013,White,11343.1822674419,20,-7335.5999721924
2016,White,13450,20,-5228.7822396343
2007,White,22233.88834476,21,0
2010,White,11617.0052976005,21,-10616.883047159497
2013,White,12960.9854651163,21,-9272.902879643698
2016,White,16400,21,-5833.888344759998
2007,White,25233.1472412667,22,0
2010,White,13374.4780305391,22,-11858.6692107276
2013,White,14951.0174418605,22,-10282.129799406199
2016,White,18900,22,-6333.147241266699
2007,White,29216.7189030362,23,0
2010,White,15507.7625428482,23,-13708.956360187998
2013,White,17116.3372093023,23,-12100.3816937339
2016,White,21540,23,-7676.718903036199
2007,White,33003.4280117532,24,0
2010,White,17685.2602056715,24,-15318.167806081703
2013,White,19281.6569767442,24,-13721.771035009002
2016,White,23570,24,-9433.428011753203
2007,White,36593.2745674176,25,0
2010,White,20393.315674665,25,-16199.958892752598
2013,White,21405.7325581395,25,-15187.542009278095
2016,White,26680,25,-9913.274567417597
2007,White,41121.1132876265,26,0
2010,White,24051.9538797133,26,-17069.159407913197
2013,White,24024.738372093,26,-17096.374915533495
2016,White,29460,26,-11661.113287626496
2007,White,46216.379366634,27,0
2010,White,27124.7678404487,27,-19091.611526185297
2013,White,27066.4970930233,27,-19149.8822736107
2016,White,32210,27,-14006.379366633999
2007,White,50639.9967352269,28,0
2010,White,30020.729199127498,28,-20619.267536099404
2013,White,30634.119186046504,28,-20005.877549180397
2016,White,35561,28,-15078.996735226901
2007,White,55654.20176297751,29,0
2010,White,33049.3300093487,29,-22604.87175362881
2013,White,33201.5697674419,29,-22452.63199553561
2016,White,4e4,29,-15654.201762977507
2007,White,59753.5749265426,30,0
2010,White,36034.8229978186,30,-23718.751928724
2013,White,36604.2151162791,30,-23149.3598102635
2016,White,44500,30,-15253.574926542598
2007,White,64733.039503754495,31,0
2010,White,39791.835462761,31,-24941.204040993493
2013,White,39491.3081395349,31,-25241.731364219595
2016,White,49e3,31,-15733.039503754495
2007,White,69886.2063336598,32,0
2010,White,42942.0224368962,32,-26944.183896763592
2013,White,43203.2848837209,32,-26682.92144993889
2016,White,53560,32,-16326.206333659793
2007,White,75172.5448906301,33,0
2010,White,46534.3409161733,33,-28638.203974456803
2013,White,46915.261627907,33,-28257.283262723104
2016,White,59400,33,-15772.544890630103
2007,White,79787.2347371858,34,0
2010,White,50734.5902150203,34,-29052.64452216551
2013,White,52380.1162790698,34,-27407.118458116005
2016,White,63930,34,-15857.234737185805
2007,White,85287.806072478,35,0
2010,White,55100.6388282954,35,-30187.167244182594
2013,White,56308.625,35,-28979.181072477993
2016,White,67550,35,-17737.806072477993
2007,White,90000.9271955599,36,0
2010,White,58416.62511685879,36,-31584.302078701105
2013,White,60938.2848837209,36,-29062.642311838994
2016,White,72500,36,-17500.927195559896
2007,White,96636.3532484492,37,0
2010,White,62760.5671548769,37,-33875.7860935723
2013,White,65475.1453488372,37,-31161.207899612004
2016,White,79e3,37,-17636.353248449203
2007,White,102368.527587333,38,0
2010,White,67093.4559052664,38,-35275.0716820666
2013,White,70115.1162790698,38,-32253.411308263196
2016,White,83100,38,-19268.527587332996
2007,White,108760.770486451,39,0
2010,White,70409.4421938298,39,-38351.3282926212
2013,White,74796.3313953488,39,-33964.439091102206
2016,White,88610,39,-20150.770486451
2007,White,114759.288279465,40,0
2010,White,74443.8921782487,40,-40315.396101216305
2013,White,80075.5872093023,40,-34683.7010701627
2016,White,94300,40,-20459.288279465007
2007,White,120931.508325171,41,0
2010,White,79141.5394203802,41,-41789.9689047908
2013,White,84447.4709302326,41,-36484.03739493841
2016,White,99900,41,-21031.508325171002
2007,White,128076.460985961,42,0
2010,White,84889.2489872234,42,-43187.211998737606
2013,White,89262.7296511628,42,-38813.73133479821
2016,White,104e3,42,-24076.460985961006
2007,White,134792.948090108,43,0
2010,White,89918.49485821128,43,-44874.45323189671
2013,White,93521.1918604651,43,-41271.756229642895
2016,White,110360,43,-24432.948090107995
2007,White,142551.648710415,44,0
2010,White,94726.6749766282,44,-47824.9737337868
2013,White,101306.031976744,44,-41245.616733671006
2016,White,115e3,44,-27551.648710415
2007,White,151120.959843291,45,0
2010,White,100872.302898099,45,-50248.65694519199
2013,White,108523.764534884,45,-42597.195308407
2016,White,122750,45,-28370.959843291
2007,White,157872.187397976,46,0
2010,White,107437.955749455,46,-50434.231648521
2013,White,114658.837209302,46,-43213.350188674
2016,White,130130,46,-27742.187397976
2007,White,164090.728044401,47,0
2010,White,114887.87161109401,47,-49202.856433306995
2013,White,119608.139534884,47,-44482.58850951701
2016,White,140100,47,-23990.72804440101
2007,White,170112.406137773,48,0
2010,White,121807.229666563,48,-48305.17647121001
2013,White,125753.52325581398,48,-44358.88288195903
2016,White,147100,48,-23012.40613777301
2007,White,180881.945804767,49,0
2010,White,128925.546899346,49,-51956.398905420996
2013,White,131981.395348837,49,-48900.55045593
2016,White,154900,49,-25981.94580476699
2007,White,189011.211230819,50,0
2010,White,136375.462760985,50,-52635.74846983398
2013,White,138405.177325581,50,-50606.033905238
2016,White,162770,50,-26241.211230818997
2007,White,196584.629448253,51,0
2010,White,142941.11561234,51,-53643.51383591298
2013,White,147705.74127907,51,-48878.88816918299
2016,White,171450,51,-25134.629448252992
2007,White,207574.191968658,52,0
2010,White,151430.040511063,52,-56144.151457595
2013,White,154356.36627907,52,-53217.825689588004
2016,White,179750,52,-27824.191968658008
2007,White,217069.915115899,53,0
2010,White,156956.684325335,53,-60113.230790564005
2013,White,163842.52906976698,53,-53227.386046132015
2016,White,187500,53,-29569.915115899
2007,White,227109.90532158,54,0
2010,White,166351.978809598,54,-60757.92651198202
2013,White,171163.372093023,54,-55946.533228557004
2016,White,194200,54,-32909.90532158001
2007,White,236547.727717924,55,0
2010,White,173978.747273294,55,-62568.98044463
2013,White,181268.197674419,55,-55279.53004350499
2016,White,203200,55,-33347.72771792399
2007,White,246193.992817499,56,0
2010,White,182257.659707074,56,-63936.33311042501
2013,White,190259.430232558,56,-55934.56258494101
2016,White,214e3,56,-32193.992817499005
2007,White,256268.723473719,57,0
2010,White,191221.875973824,57,-65046.847499895
2013,White,198487.645348837,57,-57781.07812488201
2016,White,223200,57,-33068.723473719
2007,White,267837.293503102,58,0
2010,White,202717.29510751,58,-65119.998395591974
2013,White,207303.590116279,58,-60533.70338682298
2016,White,230100,58,-37737.29350310197
2007,White,276997.192295135,59,0
2010,White,213770.582736055,59,-63226.60955908001
2013,White,215944.247093023,59,-61052.945202111994
2016,White,239100,59,-37897.192295135
2007,White,286492.915442377,60,0
2010,White,223718.541601745,60,-62774.373840631975
2013,White,223749.709302326,60,-62743.206140050985
2016,White,249250,60,-37242.91544237698
2007,White,294830.623571662,61,0
2010,White,235390.81333748804,61,-59439.81023417396
2013,White,234266.976744186,61,-60563.64682747601
2016,White,261e3,61,-33830.623571662
2007,White,305947.567744042,62,0
2010,White,247593.642879402,62,-58353.92486464002
2013,White,247062.985465116,62,-58884.58227892601
2016,White,271790,62,-34157.567744042026
2007,White,321939.755142018,63,0
2010,White,262073.449672795,63,-59866.305469223036
2013,White,258446.380813953,63,-63493.37432806502
2016,White,282340,63,-39599.755142018024
2007,White,333624.126673196,64,0
2010,White,273734.66812091,64,-59889.45855228597
2013,White,267473.702034884,64,-66150.42463831196
2016,White,297e3,64,-36624.12667319598
2007,White,347230.803134182,65,0
2010,White,285373.779993768,65,-61857.02314041398
2013,White,279016.918604651,65,-68213.884529531
2016,White,311500,65,-35730.803134182
2007,White,360026.869082599,66,0
2010,White,298538.245559364,66,-61488.62352323503
2013,White,289843.51744186,66,-70183.35164073901
2016,White,320930,66,-39096.869082599005
2007,White,373517.744041789,67,0
2010,White,310529.957307572,67,-62987.78673421696
2013,White,302422.994186047,67,-71094.74985574197
2016,White,338700,67,-34817.744041788974
2007,White,387587.626509958,68,0
2010,White,321650.669990651,68,-65936.95651930699
2013,White,315827.354651163,68,-71760.27185879502
2016,White,357500,68,-30087.626509958005
2007,White,400638.455762325,69,0
2010,White,336019.943907759,69,-64618.51185456599
2013,White,332531.25,69,-68107.20576232497
2016,White,379600,69,-21038.45576232497
2007,White,421749.069539667,70,0
2010,White,357684.387659707,70,-64064.68187996
2013,White,348925.813953488,70,-72823.25558617897
2016,White,400100,70,-21649.06953966699
2007,White,437984.440091414,71,0
2010,White,375369.647865379,71,-62614.79222603503
2013,White,370166.569767442,71,-67817.87032397202
2016,White,414598.6,71,-23385.84009141405
2007,White,455099.902056807,72,0
2010,White,396205.095045185,72,-58894.807011622004
2013,White,390066.889534884,72,-65033.012521922996
2016,White,436400,72,-18699.902056807012
2007,White,473998.707149853,73,0
2010,White,418919.601121845,73,-55079.106028007984
2013,White,407286.337209302,73,-66712.369940551
2016,White,460250,73,-13748.707149852999
2007,White,501073.09826967,74,0
2010,White,440915.643502649,74,-60157.454767021
2013,White,424536.718023256,74,-76536.38024641399
2016,White,486e3,74,-15073.09826966998
2007,White,522959.582109043,75,0
2010,White,462248.48862574,75,-60711.09348330303
2013,White,448221.191860465,75,-74738.39024857804
2016,White,517780,75,-5179.582109043025
2007,White,561637.283708782,76,0
2010,White,480165.86787161103,76,-81471.41583717102
2013,White,468430.843023256,76,-93206.44068552606
2016,White,549600,76,-12037.283708782052
2007,White,591456.170421156,77,0
2010,White,503532.517918355,77,-87923.65250280098
2013,White,495662.316860465,77,-95793.853560691
2016,White,586765,77,-4691.1704211559845
2007,White,619190.630101208,78,0
2010,White,534205.391087566,78,-84985.23901364196
2013,White,531225.11627907,78,-87965.51382213796
2016,White,616590,78,-2600.630101207993
2007,White,654394.286647078,79,0
2010,White,569907.510127766,79,-84486.77651931194
2013,White,579377.703488372,79,-75016.58315870597
2016,White,658500,79,4105.713352922001
2007,White,684618.478615736,80,0
2010,White,604062.168899969,80,-80556.30971576704
2013,White,612991.715116279,80,-71626.76349945704
2016,White,698700,80,14081.521384263993
2007,White,718085.1126346721,81,0
2010,White,641422.28108445,81,-76662.83155022212
2013,White,647946.162790698,81,-70138.94984397409
2016,White,753e3,81,34914.887365327915
2007,White,756531.211230819,82,0
2010,White,680993.05079464,82,-75538.16043617902
2013,White,683828.604651163,82,-72702.60657965601
2016,White,811200,82,54668.788769181
2007,White,784091.968658178,83,0
2010,White,726200.997195388,83,-57890.97146279004
2013,White,722391.918604651,83,-61700.050053527
2016,White,866300,83,82208.031341822
2007,White,823001.273261508,84,0
2010,White,775730.779058897,84,-47270.49420261092
2013,White,772916.046511628,84,-50085.22674988001
2016,White,941040,84,118038.72673849203
2007,White,872216.911524649,85,0
2010,White,855524.462449361,85,-16692.449075288023
2013,White,825811.715116279,85,-46405.196408370044
2016,White,1015e3,85,142783.088475351
2007,White,929886.0594188701,86,0
2010,White,937307.737612964,86,7421.678194093867
2013,White,881078.924418605,86,-48807.13500026509
2016,White,1099500,86,169613.94058112986
2007,White,975453.950375449,87,0
2010,White,1026629.35493923,87,51175.40456378099
2013,White,971506.802325581,87,-3947.148049868061
2016,White,1187570,87,212116.04962455097
2007,White,1059583.74142997,88,0
2010,White,1118603.76129635,88,59020.01986638014
2013,White,1043684.12790698,88,-15899.613522989908
2016,White,1286800,88,227216.2585700301
2007,White,1156914.90368919,89,0
2010,White,1232883.70208788,89,75968.79839869007
2013,White,1133802.6744186,89,-23112.229270590004
2016,White,1397100,89,240185.09631080995
2007,White,1253921.82174339,90,0
2010,White,1365302.08787784,90,111380.26613444998
2013,White,1233201.1627907,90,-20720.658952689962
2016,White,1540700,90,286778.17825660994
2007,White,1341560.39830232,91,0
2010,White,1527343.28451231,91,185782.88620999013
2013,White,1379514.9127907,91,37954.51448838017
2016,White,1728e3,91,386439.6016976801
2007,White,1563436.07574274,92,0
2010,White,1728955.25085696,92,165519.17511422
2013,White,1552843.60465116,92,-10592.471091579879
2016,White,1986400,92,422963.92425726005
2007,White,1875196.87887692,93,0
2010,White,1939863.0320972297,93,64666.15322030964
2013,White,1788760.34883721,93,-86436.53003970999
2016,White,2288e3,93,412803.1211230799
2007,White,2292638.13254979,94,0
2010,White,2181808.44499844,94,-110829.68755135033
2013,White,2078191.4244186,94,-214446.70813119016
2016,White,2549500,94,256861.8674502098
2007,White,2765687.26738492,95,0
2010,White,2547757.430748925,95,-217929.83663599472
2013,White,2520329.09883721,95,-245358.16854770994
2016,White,2939e3,95,173312.7326150802
2007,White,3525229.31766242,96,0
2010,White,3067928.40760361,96,-457300.9100588104
2013,White,3173224.56395349,96,-352004.7537089302
2016,White,3657400,96,132170.68233757978
2007,White,4639008.16193275,97,0
2010,White,4179844.9298847,97,-459163.23204804957
2013,White,4133698.54651163,97,-505309.6154211196
2016,White,5047405,97,408396.8380672503
2007,White,6847111.19817173,98,0
2010,White,5648561.57681521,98,-1198549.6213565199
2013,White,5994646.53197674,98,-852464.6661949903
2016,White,7696400,98,849288.8018282698
2007,White,10801964.0874959,99,0
2010,White,9308968.30788408,99,-1492995.7796118204
2013,White,9725172.84883721,99,-1076791.2386586908
2016,White,12206400,99,1404435.9125040993
2007,White,1634511768.8685715,100,0
2010,White,1209214191.96011,100,-425297576.9084616
2013,White,1365613147.44186,100,-268898621.42671156
2016,White,17038e5,100,69288231.13142848
2007,Black,-38422.9382957884,1,0
2010,Black,-126205.332813961,1,-87782.3945181726
2013,Black,-81024.2034883721,1,-42601.265192583705
2016,Black,-91650,1,-53227.0617042116
2007,Black,-29181.9784524976,2,0
2010,Black,-65534.9423496416,2,-36352.963897144
2013,Black,-65062.70348837209,2,-35880.72503587449
2016,Black,-67700,2,-38518.0215475024
2007,Black,-21654.8808357819,3,0
2010,Black,-51950.4518541602,3,-30295.5710183783
2013,Black,-54339.2151162791,3,-32684.334280497198
2016,Black,-49825,3,-28170.1191642181
2007,Black,-17486.0267711394,4,0
2010,Black,-36575.3287628545,4,-19089.3019917151
2013,Black,-46471.886627907,4,-28985.859856767598
2016,Black,-36910,4,-19423.9732288606
2007,Black,-11580.1501795625,5,0
2010,Black,-27301.6204425055,5,-15721.470262943
2013,Black,-38871.614244186,5,-27291.4640646235
2016,Black,-30300,5,-18719.8498204375
2007,Black,-10306.3336598106,6,0
2010,Black,-20669.6478653786,6,-10363.314205568
2013,Black,-31139.360465116297,6,-20833.026805305697
2016,Black,-25850,6,-15543.6663401894
2007,Black,-8106.10512569376,7,0
2010,Black,-14423.435026488,7,-6317.32990079424
2013,Black,-26148.8139534884,7,-18042.70882779464
2016,Black,-21840,7,-13733.89487430624
2007,Black,-6322.76199804114,8,0
2010,Black,-10655.3692739171,8,-4332.60727587596
2013,Black,-22663.6802325581,8,-16340.918234516961
2016,Black,-17620,8,-11297.23800195886
2007,Black,-4400.45706823376,9,0
2010,Black,-7626.76846369586,9,-3226.3113954621003
2013,Black,-19869.386627907,9,-15468.929559673239
2016,Black,-13690,9,-9289.54293176624
2007,Black,-2812.81847861574,10,0
2010,Black,-5725.60299158616,10,-2912.78451297042
2013,Black,-17528.7790697674,10,-14715.96059115166
2016,Black,-11960,10,-9147.18152138426
2007,Black,-2316.0300359125,11,0
2010,Black,-4819.2334060455,11,-2503.2033701329997
2013,Black,-14228.2130813953,11,-11912.183045482801
2016,Black,-10270,11,-7953.969964087501
2007,Black,-1909.56676460986,12,0
2010,Black,-3315.98628856342,12,-1406.4195239535602
2013,Black,-11754.5930232558,12,-9845.02625864594
2016,Black,-7998,12,-6088.43323539014
2007,Black,-1378.03787136794,13,0
2010,Black,-2884.90807105017,13,-1506.87019968223
2013,Black,-9630.51744186047,13,-8252.47957049253
2016,Black,-6e3,13,-4621.96212863206
2007,Black,-613.747959516814,14,0
2010,Black,-1657.99314428171,14,-1044.245184764896
2013,Black,-8021.99418604651,14,-7408.246226529695
2016,Black,-4900,14,-4286.252040483186
2007,Black,0,15,0
2010,Black,-773.73013399813,15,-773.73013399813
2013,Black,-6495.95930232558,15,-6495.95930232558
2016,Black,-3670,15,-3670
2007,Black,0,16,0
2010,Black,-121.586163913992,16,-121.586163913992
2013,Black,-4928.68023255814,16,-4928.68023255814
2016,Black,-1850,16,-1850
2007,Black,0,17,0
2010,Black,0,17,0
2013,Black,-4083.17441860465,17,-4083.17441860465
2016,Black,-950,17,-950
2007,Black,0,18,0
2010,Black,0,18,0
2013,Black,-2990.20348837209,18,-2990.20348837209
2016,Black,-220,18,-220
2007,Black,0,19,0
2010,Black,0,19,0
2013,Black,-2495.27325581395,19,-2495.27325581395
2016,Black,0,19,0
2007,Black,0,20,0
2010,Black,0,20,0
2013,Black,-1633.26976744186,20,-1633.26976744186
2016,Black,20,20,20
2007,Black,1.15801501795625,21,0
2010,Black,0,21,-1.15801501795625
2013,Black,-721.773255813953,21,-722.9312708319093
2016,Black,120,21,118.84198498204375
2007,Black,92.6412014365002,22,0
2010,Black,0,22,-92.6412014365002
2013,Black,-205.189825581395,22,-297.8310270178952
2016,Black,222,22,129.35879856349982
2007,Black,244.341168788769,23,0
2010,Black,1.10532876285447,23,-243.23584002591454
2013,Black,0,23,-244.341168788769
2016,Black,320,23,75.65883121123099
2007,Black,729.549461312439,24,0
2010,Black,33.1598628856342,24,-696.3895984268048
2013,Black,0,24,-729.549461312439
2016,Black,460,24,-269.549461312439
2007,Black,926.412014365002,25,0
2010,Black,165.799314428171,25,-760.6126999368311
2013,Black,0,25,-926.412014365002
2016,Black,600,25,-326.41201436500205
2007,Black,1263.39438459027,26,0
2010,Black,552.664381427236,26,-710.730003163034
2013,Black,0,26,-1263.39438459027
2016,Black,800,26,-463.39438459026996
2007,Black,1737.02252693438,27,0
2010,Black,1105.32876285447,27,-631.6937640799101
2013,Black,0,27,-1737.02252693438
2016,Black,910,27,-827.02252693438
2007,Black,2026.52628142344,28,0
2010,Black,1425.87410408227,28,-600.65217734117
2013,Black,51.5552325581395,28,-1974.9710488653004
2016,Black,1140,28,-886.52628142344
2007,Black,2316.0300359125,29,0
2010,Black,1768.52602056715,29,-547.5040153453499
2013,Black,154.665697674419,29,-2161.364338238081
2016,Black,1400,29,-916.0300359124999
2007,Black,2896.19555990859,30,0
2010,Black,2210.65752570894,30,-685.5380341996502
2013,Black,329.953488372093,30,-2566.242071536497
2016,Black,1560,30,-1336.19555990859
2007,Black,3162.53901403852,31,0
2010,Black,2542.25615456529,31,-620.2828594732296
2013,Black,618.662790697674,31,-2543.8762233408456
2016,Black,2e3,31,-1162.5390140385198
2007,Black,3960.41136141038,32,0
2010,Black,3205.45341227797,32,-754.9579491324098
2013,Black,886.75,32,-3073.66136141038
2016,Black,2520,32,-1440.4113614103799
2007,Black,4400.45706823376,33,0
2010,Black,3592.31847927703,33,-808.13858895673
2013,Black,1288.88081395349,33,-3111.57625428027
2016,Black,3040,33,-1360.4570682337599
2007,Black,4933.14397649363,34,0
2010,Black,3979.1835462761,34,-953.9604302175303
2013,Black,1649.76744186047,34,-3283.37653463316
2016,Black,3700,34,-1233.1439764936304
2007,Black,5419.51028403526,35,0
2010,Black,4598.1676534746,35,-821.3426305606599
2013,Black,2062.20930232558,35,-3357.30098170968
2016,Black,4200,35,-1219.5102840352602
2007,Black,5882.71629121776,36,0
2010,Black,5150.83203490184,36,-731.8842563159196
2013,Black,2639.62790697674,36,-3243.08838424102
2016,Black,4661,36,-1221.71629121776
2007,Black,6299.60169768201,37,0
2010,Black,5686.91648488626,37,-612.68521279575
